City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,gao,16.6362,1.637,34.71,23.0,65.0,4.03,ML,1717453563.0
311,hasaki,35.7333,140.8333,19.22,71.0,94.0,7.22,JP,1717453564.0
312,letlhakane,-21.4167,25.5833,7.93,29.0,0.0,3.38,BW,1717453514.0
313,lugoj,45.6886,21.9031,16.0,94.0,39.0,1.81,RO,1717453567.0
314,gemena,3.25,19.7667,22.09,99.0,89.0,1.3,CD,1717453568.0
315,tanrake village,,,,,,,,
316,taltal,-25.4,-70.4833,15.79,85.0,97.0,1.08,CL,1717452977.0
317,colonia,50.9333,6.95,16.13,74.0,100.0,1.54,DE,1717453571.0
318,garrni,40.1193,44.7344,19.33,52.0,0.0,4.16,AM,1717453573.0
319,sampit,-2.5333,112.95,23.38,100.0,100.0,1.33,ID,1717453574.0
320,union,40.6334,-74.2663,29.6,45.0,100.0,3.6,US,1717453575.0
321,hammerfest,70.6634,23.6821,11.25,76.0,40.0,5.66,NO,1717453576.0
322,howrah,22.5892,88.3103,30.0,84.0,40.0,4.63,IN,1717453563.0
323,mossel bay,-34.1831,22.146,14.96,80.0,100.0,7.04,ZA,1717453578.0
